essround,cntry,domain,n_gross,n_net,n_ineligibles,ri,rr
9,AT,,4956,2499,41,0.008272800645682,0.508443540183113
9,AT,1,1056,515,4,0.00378787878787879,0.489543726235741
9,AT,2,3900,1984,37,0.00948717948717949,0.513590473725084
9,BE,,3204,1767,107,0.0333957553058677,0.570552147239264
9,BG,,3330,2198,148,0.0444444444444444,0.69076052796983
9,CH,,3015,1542,41,0.0135986733001658,0.518493611297915
9,CY,,1599,781,134,0.0838023764853033,0.533105802047782
9,CZ,,3564,2398,4,0.00112233445566779,0.673595505617978
9,DE,,8695,2358,143,0.0164462334675101,0.275724976613658
9,DK,,3212,1572,42,0.0130759651307597,0.49589905362776
9,EE,,3100,1904,43,0.0138709677419355,0.622832842656199
9,ES,,3248,1668,150,0.0461822660098522,0.538411878631375
9,FI,,3400,1755,12,0.00352941176470588,0.518004722550177
9,FR,,4400,2010,221,0.0502272727272727,0.480976310122039
9,GB,,5850,2204,466,0.0796581196581197,0.409361069836553
9,HR,,4470,1810,284,0.0635346756152125,0.432393693263259
9,HU,,4363,1661,199,0.0456108182443273,0.398895292987512
9,HU,0,6,0,0,0,0
9,HU,1,2101,747,77,0.0366492146596859,0.369071146245059
9,HU,2,2256,914,122,0.0540780141843972,0.428303655107779
9,IE,,3768,2216,191,0.0506900212314225,0.619513558848197
9,IS,,2197,861,72,0.0327719617660446,0.405176470588235
9,IS,1,1777,685,63,0.0354530106921778,0.399649941656943
9,IS,2,420,176,9,0.0214285714285714,0.428223844282238
9,IT,,5497,2745,230,0.0418410041841004,0.521169546231251
9,IT,1,770,366,28,0.0363636363636364,0.493261455525606
9,IT,2,4727,2379,202,0.042733234609689,0.525745856353591
9,LT,,4190,1835,1091,0.260381861575179,0.592126492416909
9,LT,1,1886,824,403,0.213679745493107,0.555630478759272
9,LT,2,2304,1011,688,0.298611111111111,0.625618811881188
9,LV,,2525,918,164,0.064950495049505,0.388818297331639
9,ME,,2016,1200,86,0.0426587301587302,0.621761658031088
9,NL,,3463,1673,94,0.0271440947155645,0.496586524191155
9,NO,,3300,1406,15,0.00454545454545455,0.428006088280061
9,PL,,2700,1500,233,0.0862962962962963,0.608025942440211
9,PL,1,980,465,94,0.0959183673469388,0.524830699774266
9,PL,2,1720,1035,139,0.0808139534883721,0.654648956356736
9,PT,,3617,1055,598,0.165330384296378,0.349453461411063
9,PT,1,1705,517,338,0.198240469208211,0.378200438917337
9,PT,2,1912,538,260,0.135983263598326,0.325665859564165
9,RS,,3605,2043,54,0.0149791955617198,0.57533089270628
9,SE,,4082,1539,93,0.0227829495345419,0.385810980195538
9,SI,,2100,1318,45,0.0214285714285714,0.641362530413625
9,SK,,2800,1083,62,0.0221428571428571,0.39554419284149
