essround,cntry,domain,deff_p,deff_p_nhhmem
9,AT,1,1.22941718066561,1.22295069438379
9,AT,2,1.24979808730318,1.23496999481555
9,BG,1,1.14713642513611,1.28311281243285
9,CZ,1,1.18592308885716,1.18592308742011
9,FR,1,1.24302270940401,1.23953539338155
9,FR,2,1.19116682958308,1.19081414674764
9,GB,1,1.31850840336516,1.20926297098536
9,HR,1,1.30966136852134,1.25406544042536
9,IE,1,1.25114841851979,1.25432680643162
9,LT,1,1.20317924371907,1.19546183901952
9,LT,2,1.62030347096767,1.20781810714283
9,LV,1,1.21852572122915,1.19500165289256
9,PT,1,1.19755915897563,1.19755918136966
9,PT,2,1.20231783065624,1.20231781645744
9,SK,1,1.26476332142063,1.22550951566324
